BrandName,BrandDescription,countryOfOrigin,BrandLogo
Allen Solly,Classic and modern fashion for men and women. Known for quality and timeless style.,US,3
Biba,Ethnic wear with a contemporary twist. Vibrant colors and intricate designs.,IN,4
Carters,Cute and comfortable clothing for kids. Playful designs for everyday adventures.,IN,5
Gap,"Casual and trendy fashion for men, women, and kids. A global icon in casual wear.",US,6
HRX,Stylish and functional activewear. Designed for fitness enthusiasts and athletes.,IN,7
Levis,Iconic denim brand known for quality jeans and casual wear. Timeless American style.,US,8
Manyavar,Elegant ethnic wear for men. Known for traditional craftsmanship and rich designs.,US,9
Nike,"Global leader in athletic shoes, apparel, and equipment. Empowering athletes worldwide.",IN,11
Puma,Sporty and stylish athletic wear and footwear. Combines performance and fashion.,DE,13
OshKosh,"Quality children's clothing, especially known for denim overalls. Playful and durable.",ES,12
Neeru,Traditional and elegant Indian ethnic wear. Exquisite designs for special occasions. ,CN,10
